video_id,title,upload_date,view_count,transcript
Lj7tOmWgAxI,"Looting | Foreign shop owners under fiire in Sharpeville, Boipatong",2024-10-18T08:00:55Z,57,now there's been looting and violence directed at foreign uh shop owners in shville and boy Patong in the v triangle the Andress is believed to have been sparked off by the killing of a South African businessman by a foreign National on Wednesday Let's cross now to our reporter Calvin Luda who is in boaton Calvin good morning so uh what again is the mood like there in BO Patong this morning and also uh with regard to the spaza shops have they opened today good morning to you sag and to our sabc viewers at home the situation is calm when we drove around here earlier and this morning people were continuing with their lives we spoke to some residents they say h life is going on as usual as it's nothing happening we spoke to some patrollers who were standing next to us here earlier this morning they confirmed that late yesterday night um they they were patrolling and everything was in order and even in this morning they woke up very early in the morning and the situation is calm and nothing is happening what I can tell you is that um the situation Sakina is Cal here next to the police station police station as you have mentioned earlier in your intro there were sporadic um incidents of looting that were taking place around here and we heard that a South African was allegedly shot and killed by Foreign Nationals and that was that sparked violence yesterday but when we spoke to the members of the community yesterday they confirmed to sabc news that they want the foreign Nationals gone they don't want to see them here anymore but you are here this morning sag and the viewer at home to monitor their situation after this we will try and locate the house or where this uh businessman H stays so that we can be able to engage the family or relatives of that business woman after this but I can confirm to SAC viewers at home that the situation is calm here H nothing much is taking place and to answer your question when it comes to foreign Nationals shop there is a shop next to me that shop is closed and when we moved around we saw that other shops are also closed Sak which means foreign Nationals did not wake up today to their shops understandably so they have a fear of that lters might come back to loot
cuT0eLb7OyA,Food Poisoning | Zithobeni residents up in arms over recent incident - Hasina Gori reports,2024-10-18T07:57:20Z,48,residents of the zeni Township in Broncos Sprite east of Petoria are expected to hold a protest march today after 25 Learners fell ill with suspected food poisoning now they had bought snacks from a street vendor near Primary School Let's cross now to our reporter Hina Gori Hina good morning so firstly what's the mood like in the township this morning and is there any indication of exactly what happened that caused the Learners to fall ill good morning Sakina yes a relatively calm morning here in zto in Broncos spright a sharp contrast for what we saw happening here yesterday the scenes of concerned parents and family and community members Gathering outside of school here after 25 Learners were rushed to hospital as a precaution after uh consuming snacks which were uh believed to be contaminated it's believed that half an hour after the students bought these snacks from vendors outside the school they started showing symptoms of body rashes as well as some tummy aches and they were taken to various different medical facilities by the afternoon however at least 22 of those Learners were then uh released they were sent home but the families as well as the community members really frustrated by these incidents saying that they concerned by the foodborn illnesses uh that are uh being contracted within uh the community yesterday we heard from uh Community leaders saying they were mobilized this morning and what we expected to happen here was that there would be a peaceful March that was meant uh to happen we were told that the community would gather at 7 a.m. and then moved to the CBD areas of broncosports spaza shops that are uh aligning the street and uh gathered some of the snacks and then burned some of them they also threw some of them out however today they said they were going to take their action to the CBD areas and go to the warehouses that supplying uh the snacks however what we've seen here this morning schools still uh continuing uh to open as usual the sgb was stationed outside the school to ensure that students were allowed to come into uh the school areas and they were not stopped from entering saying that they would not be disrupted from the schooling and that the incident that took place was not an issue uh that had anything really to do with the school per se uh but with the outside of vendors that were supplying these snacks we've seen a vehicle driving through the community mobilizing the community to come through a with a haer saying to meet at the four-way stop which is just uh to the right of us we yet to see uh any of these groups gather at the stage uh that will be something we'll be monitoring through the day but what we can see is a relative calm here that the community is carrying on as usual but what we ask seeing as precaution is at the uh stores that line the street the spaza store on on the one side has been closed we've seen other vendors set up tables to uh Supply you know the community with some of their wees as usual because uh these stores are now closed at the moment uh we unsure whether in Broncos breit and the CBD where the stores are uh open at the stage I know that they were told to uh close um as uh there may be um uh some looting that may take place yesterday committee leaders told us that this protest action that the March would be peaceful that they were calling on communities to be vigilant to not vandalize uh but we'll continue to monitor the situation but as of right now relative calm and things are as normal police are also here on uh the scene patrolling also to ensure that there is a peaceful protest but for now back to you in studio oh thanks so much Hina Gori a relative calm in zenan Broncos spray at this time for
p7ZMLkEhSbM,Sarah Baartman Centre of Remembrance in Hankey remains incomplete - Joe McGluwa weighs in,2024-10-18T07:01:09Z,295,the Parliamentary oversight committee says that it is concerned over delays in the completion of the Sara Bartman Center of Remembrance in Hani in the Eastern Cape the center remains nowhere near completion and this despite 10 years of construction and up on top of that 10 years it has already spent 247 million Rand on the center since April of 2014 but construction at this point remains only 37% complete now the center of remembrance was built in honor of um documenting the life of Sara Bartman as well as the heritage of the koi and Sun people as well as color communities but to talk to us more about this matter we joined virtually by the chairperson of the portfolio committee on Sports arts and culture Mr Joe McLure uh thanks so much for your time this morning and welcome to morning live Mr ml good morning San good morning to all the listeners so more than 10 years after construction started on the SAR Bartman Center of remembrance and with more than 247 million already pumped into the facility we hear that it's only 37% complete let's first get your reaction to what has happened so far well uh Sakina what uh the SAR Bartman development is concern as I used to call it it for me is actually a Monumental disgrace it is a Monumental disaster it is very unfortunate that the people of hanky has been treated in this fashion now as the portfolio committee for sport arts and culture our main objective and and core business is to engage in oversight un towards the uh entities and also the department Sports arts and culture and we have also adopt a noons attitude doesn't matter who is involved and where it is but we are actually adopt a hashtag follow the money approach and we have decided we have a numerous problems in the department Sports arts and culture when it comes to these kind of contracts and developments it is not only M museums and libraries but it's also infr structure of this nature and in this particular case the portfolio committee sport arts and culture has decided to in its oversight role to go and see for themsel and ask the department what is actually transpiring here it is actually so sad when we arrive also at the premises to not that the uh that the project is uh under 50% in completion but we've also found that it it has now become a trend I mean since 2014 this project was supposed to be completed in 2016 but for me there is an outright you know negligence and a lack of oversight and monitoring uh from the Department Sports arts and culture who is sponsoring this project we also are concerned as the portfolio committee that there are too many entities involved and do actually you know leave a a a a gap for for corruption it leave a gap for fruitless expenditure and we must emphasize that we are not happy of what we have heard when we visit this premises and and I'm curious to know Mr ml what it is exactly that you heard because 10 years you mentioned the word oversight at least twice in that first response so where was the oversight why did it take 10 years to get to this point where we say it is unacceptable well so many uh entities here is responsible and must explain on what is transpired When we arrive at the premises we have been told so many reasons of one which Co has become a norm amongst the department uh uh uh managers as an excuse for not completion this project was supposed to be done in 2016 it has been extended from a 160 million Rand to a 240 million rent and the reasons that has been given was uh uh uh shy work other reasons such as they could not pay the contractors and you must note that it is the department Sports arts and culture it is the department uh of Public Works and infrastructure and then also the dbsa the Development Bank of South Africa who is a governmental institution and also blame is put uh to the dbsa who could not pay the contractors I mean if you uh to have a budget Sakina there is just no way that you can have this kind of overspend when it comes to this kind of of of budget we visited the place instead we believe that that uh uh Place could has could have been developed in stages it was a better butter experience to arrive at the tombstone uh of Sara Bartman which has been removed without the permission of the entire Community this is supposed to be a place of remembrance we have also made a claran call to both the minister DPW and even to the South African uh Heritage uh uh uh Resource Council we have made a clear clarent call to say please engage engage with the community of Hani because we have lost an opportunity here but it is a growing concern that contractors has been utilized from houting and that is the tendency what is happening within the department we have state-ofthe-art facilities facilities in what we called Manda the former Graham town which has been done by a local project management which has been done by a local architect but the rest of the development in Sarah Bartman has been from Outsiders no local people has been utilized instead it one of the reasons also mentioned was because of a strike of the people of Hani they should have done this it was their right to do this because no no local people has been utilized uh to to to to be involved in this particular contract it me they mention taxi strikes that there is also a road a entrance Entrance Road that was supposed to be done it was not done imagine s if if we could have complete this project the benefit that this project could have given to uh South African and also we say the local empowerment uh uh we could have Boost instead uh uh this project and and and as the committee we have recommend serious recommendations that one because what we are facing here is consequence management and I think we can only have and get this project right if we deal with the consequence management there's also a tendency of ministers currently that you know that is a a newly appointed by the president yes we respect that we take note of that but ministers must take full responsibility of that department because I used to say in the portfolio committees that you have have received this department foood stewards so deal with the issues here deal with it even if those individuals are not uh with us anymore we can deal with those individuals as a result we will then deal with the problems they are using sin 2 million Rand 2 million Rand for Consultants there's one of my favorite place during my oversight in in the Eastern Cape it's called Centon on sea it's a very small municipality they have not used any consultant they have shown this country that it can be done they have utilized local smm they have utilized the community they have you they have spent so much money and when we we were so satisfied but we cannot say the same of the Sara Bartman project that was supposed to be done long time ago DPS dpsa called meetings no one is turning up during our oversight I think what is worth and and and and and what is actually a of grave concern was that the that the DG did not even pitch for that particular meeting we also as a collective decided that listen you two ministers the department of of uh Sports arts and culture and the Department Public Works and infrastructure you must come together get your act in get uh in order and we say we want to hear how best are we going to address this this problem yeah and and and that's all good and well moving forward but this project the tender was awarded in 2014 Mr mlu and it was meant to be completed in 2016 the initial cost was so what was the reason for the project not being completed in 2016 who was responsible where was the oversight and what are you going to do now to hold people accountable well obviously some of the other reasons was the termination of contracts uh it was also the fact that uh appointments of Art and coordinators uh you know uh that were supposed to be on site right at their cost that has escalated and also a very a very interesting one Sakina is the fact that they gave a reason of some of the delays was because of of of of poor quality but we actually CAU the department out when we asked a question how do you deal with payments and they they themselves indicated that we are not paying anyone and unless unless we are we are only issuing a a a Payment Certificate uh uh unless someone was on the premises to do investigation so what happened is they they go and then they give a a a a Payment Certificate well they are happy with the work but only to find out this this year with the the the request for more money is that you have given a certificate of of of completion uh uh you were satisfied and now you have called out a consultant and that consultant has GI indication to say listen here was poor shorty work so how do you give a certificate how do you give a certificate of payment and also there is a trend and and and uh uh in in not only this department I have noticed through throughout the country there's a trend where contractors contractors uh uh engage with uh in this particular case with the Department of Public Works and then there's a delay in payment and there's a clause within the memorandum of understanding and we are appeal to them we want to see that clause and we want to make recommendations to see to what extent we can take that out because uh contractors are fully entitled if they are not getting paid and that is what really make us angry and your political claws just come out like that and then if if if the department pay late even if the department pay late in a particular case recently a contractor has been paid 3 million but a contractor has been paid late but there's a clause saying if you're not happy if you did not receive your money if you have been paid late you are entitled to withdraw from this whole contract even down goods and services on the premises but you are entitled to charge the department for that money so somehow somewhere there is a Syndicate somehow somewhere there is a mafia within the system and we as a collective must get rid of this yes the point is you spoke about consequence management earlier what will that look like you speak about the contractors the first contractor Liber Consulting um 30mon contract they were the ones who were initially appointed um they were given 168 million Rand from the start of April 2 14 until October 2016 and they failed to complete there were cost overruns of 21 million Rand why was that even allowed to happen given the amount of money Mr ml that was paid to Leber construction and moving ahead are you going to try and recover some of that money from Leber construction well uh one of the silly things that the the department recommend was that we should act we are not on that premises our business is oversight and rightfully so paying a contractor so much money without the work being done I again I I would say that it is an indictment and the main thing and the main reasons what these departments are doing sinina is to play with variations we have an indicator some of them are not smart at all we have targets and then you'll find when it comes to meeting those targets it does not it does not satisfy us but the only way for me I'm saying heading The Way Forward especially now when we are going to deal with the medium-term uh uh uh budget judgment it is important in the meantime that we have to get a clear picture from the minister we have to get a clear clear picture picture on what is transpired because I think we need a coherent reform approach to deal with officials the the officials actually they are the ones that we need to transform our country is busy to transform but I think our officials who find themselves with the hands in the purse of the public they are the ones we should deal with the entities the department Sports arts and culture has a responsibility they have a cause and that is to deal with wasteful expander uh so that South Africa's money could be spent much better when it comes to the poor when it comes to uh the economy when it comes to fundamental uh things there's a fundamental challenge that we have here and that is the officials that is not transformed the department and in this particular case is the sponsor the the implementing agent dpsa the the implementing agent dbsa those are the ones that should have been monitored but Shifting the monies around in this fashion just transfer the responsibility to someone else there is no interest no interest from the Department sport of arts and culture to keep this entities responsible later as well with some of these entities when you read the report it does not speak to what is happening on the ground down there some of these reports s if you read it it read like you read a horror move I think we need a approach where we give consequence management among Senor of of of officials and we're going to wait to see Mr ml unfortunately out of time but we're going to wait to see exactly how that is tackled uh because oversight has clearly failed on this particular project and we're going to wait to see whether anyone is held accountable but thank you so much for your time Mr Joe MCL chairperson of the portfolio Committee of sports arts and culture speaking to us about the state of the Sara Bartman Center of Remembrance in hanky in the Eastern Cape just incidentally the second contractor there was paid 219 million in uh 2020 for
49oA2AwYPs4,Sporting weekend preview with Khanyiso Tshwaku,2024-10-18T05:53:15Z,202,it's another weekend full of sporting Action Now Formula 1 is back in the United States there is a United rugby Championship the women's T20 World Cup final is at the business end and the calling knockout um has plenty of mouthwatering action for football lovers as it kicks off today now to help us dissect uh this and what we can look forward to this weekend in terms of your sporting action we are joined by sabc sport analyst and commentator kis Tru K say good morning to you thank you so much for joining us on Sports on morning live good morning V and good morning to the viewers Kus I want us to start and speak about the calling knockout because the action starts today and we know that amazulu will be hosting Sten Bosch FC and you look at the two teams having starts that have been very different amazulu rooted right at the bottom of the bway Premiership and when we look at stellen BOS FC they've G they've had a good cup run I mean they won the calling knockout last year they are the defending Champions and they also made a all the way to the final of the mtn8 speak to me about your permutations and expectations on tonight's Clash look it's not going to be easy mulu with the new coaching du and will probably want to start this tournament probably the highest note possible and that's actually trying to advance um in a cup competition one need to remember this probably the one trophy that am would have actually won you date back to 1992 um when this competition had a different sponsor name than the Coca-Cola cup actually won um this tournament so you look like it's actually 32 years um since they've actually won this particular tournament but I think um the passage of time um has taken care of that I think if you look at the current selling B group at the moment they playing some really good football yes had a slightly Rocky start to the BET Premiership season but I think they sorted that one out and as defending Champions probably this is one trophy that they would clearly like to defend they've already show the ability um to play cup competition football I mean the fact that they eliminated M Sundowns um in the mtn8 and they showed how well they played there and how unlucky they were in the mtn8 final I think they are probably in for much better for much better trip to Durban as compared to the final I mean they already know how to win in Durban having won um last year's calling knockout cup there in Duran um so I think for them it may a bit of a a bit of a seminal return but I would be surprised if they advance to the next round but then again cup competition cup cup Cup competition football um is a rather different Beast it's a different Beast let's speak about Saturday's clash between ker Chiefs as well as super sports United we've seen a different ker Chiefs under coach nezrin Nai we've seen better structure from them and then you look at their opponents on the day Super Sports United coach Gavin hunt having had some injuries you have a Bradley that is injured and we know what he can do in front of goals how's that one looking for you look is going to be a tricky one super sport for some reason and G hand have just not clicked in Cup competitions either being first or second rout exits um probably when you look at all the Cup competitions um when you look at this is probably the one of the harder ones to win because they have to play um Premiership sides all the way to win so from this round of 16 so it it it may look like a four game stretch but it being a four game Str is a tricky one because let's say now you're a super sport um you beat the K Chiefs it's not like you're going to meet the first division second division side along the way you still need to meet one of the league sites in order to actually get to the final so I think for for for Super Sport I mean it's going to be a tricky game I think for for Chiefs in particular they have a lot riding on this game because remember that they didn't they finished outside the top eight so they immediately ruled the M of mtn8 so unlike other teams would probably would have started the season with four trophies to play for they've already got three the last thing they would want now is for early elimination in this tournament leaving them with only the league and the net Bank cup um to chase so I think well Super Sport will be under pressure um to actually do well in the toour but I think for Chiefs in particular with the kind of expectation um that the started the season with with how they've played with with the style of football they've played on so far I think there's more pressure on Chiefs in particular um to actually play well just a quick one kanes as we wrap up the discussion on the calling knockout we look at uh TS Galaxy chaper United as well as rich as B and kukun any surprises You're Expecting in those two clashes probably those are the games that you you know the thing with Cup competitions is that because they needs to be a winner you may find that those games May do out some really exciting football I mean if you look at a cha United side they started this season pretty well TS Galaxy will find this on the other hand have the best of starts um to the season so you may find that those particular games are probably the one that when you look at the the the Orlando Pirates are hosting my gu Sundowns are hosting golden AR you probably think that those are games that would get top bilding but you find with cup with with Cup football in particular these are the games you can't take for granted because also these are the teams that are gener not in the league riding but also look at comp like these as hey this is a tournament that you can win and especially the fact that they don't have um first or second division um speed HS um to negotiate because these are teams that they play on a week week in week out basis and these are the time they can probably look at them and say these are the teams that we can probably beat on any given day so I think with the way that this tournament is set up I would be surprised if those games one be exciting two actually do have some really really strange results uh we're certainly looking forward to that let's move our conversation now and start speaking record with the IC T20 World Cup final coming through on Sunday and the pro TI is making it to the final we look at the second semifinal taking place today at 4 p.m. West Indies up against New Zealand who do we actually want to win this game so that we play that team on the final and why look you one could say maybe New Zealand considering that you know what you get from New Zealand um we've seen how consistent they've been in the buildup to the tournament and playing in the tournament and you also realize that you don't want to play the West Indies um considering that the West Indies when they turned it up they pretty much the sto B we saw how they took um England the part I mean they bowled magnificently at the top then um a that chase with I mean in a similar way that South Africa did against Australia yesterday I think also though when you're in the final you don't M it do I think it just doesn't matter who you play South Africa did the business side beating the strongest team I mean the tournament and did so with a very cold deficiency that is um something that you never see from South Africa I think the biggest surprise probably of this year from a cricket perspective is that we've had two South African teams in finals in20 in the 220 finals I mean look at how well the men's team played just to get to the final what were difficult conditions in the West Indies and then when you look at how South Afric the South African womens team built up in T20 cricket I'm not looking very convincing through building up the tournament but just played the right Cricket when it truly mattered I think the England the Lost against England was probably a blessing in disguise now because it just allowed them to find a way of playing their 220 cricket and it probably mattered yesterday where and K in particular deliver truly mattered yes there were asterisk with especially with how slowly she's bed at number three but when it truly mattered um she rocked up so look you look at that game now you look at you realize that um having beaten Australia one feels that hope one hopes that the South African team still have one very good game left because you know don't want that feeling where maybe that was their final because they're in the final now um and be sure South Africa have shown that they have an ability um to win semi-finals and the lost to Australia would was very strong side in the 2022 final but I think they'll look at this particular final Sunday and realize that you know what this is the final we can win regardless of who they play well Kisa thank you so much for your time this morning it's always a pleasure chatting to you thank you all right that is of course Sac sport commentator and analyst just unpacking what we can look forward to in terms of the sport this weekend and of course we're still going to touch on the URC because we know there is that rugby action as well
5stIl60EieE,Newspapers | 18 October 2024,2024-10-18T05:04:27Z,1791,"it's time to take a look at what's making headlines in the newspapers and of course we've got uh the M Guardian to start off with since it's a Friday and uh there's the front page of the M Guardian this morning the Enemy Within forget the da the biggest threat to the government of national Unity is internal A&C battles also they uh picture Pipe Dreams and Nightmare scenarios how South African cities are coping with the Water Crisis at the top there lfi and the buried 273 million Rand tender report and pul finally in court over the kariki tender uh that's the front page of the mland Guardian let's move on to the business day this is what they leading with this morning New Era for jsse in the biggest shakeup new listing requirements and less red tape to stem the flow of D listings three small Enterprises will on Friday Asher in a groundbreaking chapter for the JC in its most ambitious initiative in a generation to encourage small firms to list and remain on the exchange picture there of President s ramapa uh where he yesterday assured participants at Auto Week conference in Cape Town that the government is committed to supporting the South African motor industry and we also just played you package by sabc news on that story a specialist in court action against nhi 3,000 that's the number of Specialists that the South African private practitioners Forum represents and as the largest Association of Medical Specialists they've started a legal action against the national health insurance act adding to the mounting pressure on President Raposa to reconsider the controversial legislation so uh that and of course uh some other stories uh further in the paper lui's Illusions as hen crumbled also apprach as end Oz women's T20 Reign and dto boeni in memorium a few pieces pinned about him moving on to the star a violence erupts over food safety concerns now chaos in shville and bronos sprayed in backlash against foreigners spaza shops the streets of Shopville in the Val region were engulfed in chaos yesterday following the tragic shooting of a local top shop owner uh the night before and demonstration of anger and Desperation residents of nearby boy Patong rallied for the return of their local economy a plea that follows a series of violent incidents targeting foreign owned spaza shops uh Raposa confident in concort over palapala dollar Scandal uh president Raposa expressed his confidence in the Constitutional Court to make a final determination on the Pala Pala Scandal when it will hear an eff application to review the decision of of the National Assembly not to impeach him a picture uh the umon SE party visiting families of a mass shooting in which seven people died when a Tavern owner allegedly uh pulled a gun on the victims and then turned it on himself in orange farm south of Johannesburg and E bads members as Mna resigns from Parliament uh Parliament has confirmed that eff Member of Parliament F Mna has resigned from the house those some of the stories the star carries this morning moving on to the citizen and uh the uh their front page there uh twoot how it's being spent and um also a picture there on the front page of the Victorious uh Proteus ladies team elated protus batter um anuka Bosch uh and the stunned teammate uh Khloe Tron as they celebrate after defeat after beating defending Champions Australia in the semi-final of the women's T20 World Cup in uh Dubai and also uh just back to that twoot system how it's being spent 21.4 billion Rand uh that has already been paid out highlights the deepening cost of living crisis with two out of 10 South Africans opting to use it for school fees and many uh plugging debt with the windfall and then one in 14 te addicted to booze Sanka figures show that males have a 6 to1 greater chance of seeking treatment with teens between 14 and 17 years old accounting for more patients than their 18 to 39 year old counterparts that's a worrying one and One Direction Liam Pain's uh star dims millions of fans worldwide mourn the death of the One Direction star Liam Payne who plunged from a hotel balcony in a buenos Ares and then finally the seeton their lead this morning Kelly's home visitors um how I Ruled them out now investigator explains how he was convinced that there were Intruders at senzo's murder scene and gin's version got the npa's nod over a second police docket claiming otherwise and Jubilee Hospital taxs run dry um mind your business MOBA tells Bruce and V we had that story in sport and also lifetime award loading for Ringo those are the stories soetan leads with this morning and don't forget the sabc website and that's www.abcnews.com as you can see there all of the stories that we've covered there's uh Pastor Ray mcy that memorial service from last night the latest in the AKA case also Tito bweni will be buried tomorrow and so many other stories as contained uh the latest news news uh on our news site and don't forget we also have the plus sabc plus app and that for everyone on the- go access to all sabc radio and TV stations as well as news and Sport that's the sac Plus app if you haven't yet please download it"
btm4osQOAww,UN warns Israel over Gaza food supply,2024-10-18T05:01:26Z,252,"the latest IPC snapshot projects that over the coming months 1.95 million people in Gaza or 91% of the population would face acute food insecurity or IPC phase 3 or worse but also said some 876,00 or 41% of the Palestinian population Trapped In The Enclave would experience emergency levels of hunger or IPC 4 while close to 350,000 would face catastrophic levels or IPC Phase 5 also known as famine today's findings by the IPC which is as you know the recognized Authority on food security are Beyond terrifying they show that the number of people at catastrophic levels of hunger is expected to double in the coming months and the risk of famine persists across the whole of Gaza the world cannot let this happen this crisis is principally the consequences of decisions made by the Israeli authorities it is in their power to change the situation urgently I have previously warned that starvation of civilians as a method of warfare is prohibited under International humanitarian law it constitutes a war crime as the occupying power Israel has the specific obligations on International humanitarian law to bring into Gaza the necessary food stuffs medical supplies and other articles and to facilitate humanitarian Relief by all means at its disposal Israel has been under pressure to allow more Aid into Gaza but is also pushed back by accusing Hamas of stealing and diverting food Aid that does enter The Enclave a claim the group has denied but with lawlessness Rife and gang-like looting commonplace you un officials have used it as examples of why a cessation of hostilities was needed to allow for a return to some type of order let alone for the relief of a traumatized population Turk also pointed to the fact that only a trickle of Aid had entered North Gaza in just the last two weeks there are reports that Israeli forces are preventing humanitarian aid from accessing the north exacerbating the already desperate humanitarian and medical needs Israel's evacuation orders appear designed to cut off North Gaza completely from the rest of the territory as bombing and other attacks continue There are serious concerns about a large scale forceable transfer of civilians not meeting the requirements of international law for evacuation on imperative military grounds forceable transfer of a large part of the population of North Gaza would amount to a war crime I call on Israel immediately to facilitate the massive influx of humanitarian Aid that is needed across all parts of Gaza you've consistently called on uh member states in the UN Security Council we pressed the High Commissioner on his calls for the security Council Members to prevent a wider conflict in the Middle East a competency that appears to have escaped the council's current capacity willingness from powerful key States in addition to legally binding orders of the international court of justice that have largely been ignored it is important to hold to account each and everybody that has responsibility in the International System and the Security Council is part of it in fact the security Council has pronounced itself and asked for a ceas file let's not forget this the issue now is to make sure that it actually gets implemented the same is when it comes to the provisional measures of the international Court of Justice there were three provisional measures that have been issued they are binding uh they need to be implemented and each and every member State not just of the United Nations but of everywhere has an interest that international law is respected my role is to constantly point this out so that it doesn't get forgotten because we actually have an international legal system that is there to be used and it's used it's to be used robustly and it's to be used by each and every member state that cares about the rule of law on other Files The High Commissioner also pointed to evidence of war and atrocity crimes in the ongoing conflict in Sudan where 25 million people face acute hunger gang violence in Haiti that has killed close to 4,000 people continued Devastation human rights violations and war crimes in Ukraine nearly 1,000 days after Russia's Invasion while in Myanmar military artillery strikes on civilians Mass rests and extrajudicial killings continue in breach of international human rights and humanitarian law Sherman Rice's sabc News New York"
aiB7wZfXP_A,SA Weather Report | 18 October 2024,2024-10-18T04:31:20Z,3988,let's get a weather update today and a look ahead to the weekend how's it said Joe guys here with the latest good morning Joel good morning Rob thank you so much and it looks like the weather is going to be just perfect for the cap Town Marathon this weekend except for the uh southeasterly Winds of course you might need to breast for that if you're going to be taking part in the race once again we are starting off the day with a cloud and rainy weather over the southern parts of the country but we continue to ask you for those sunrise pictures please send them to our WhatsApp number on the top of our screens and also share with us on our social media platforms so here's how things are going we have up to a 30% chance of rain showers over the Western cap the chance of rain increases as we go towards the Eastern cap coastal areas it is also fairly wet this morning for the kedan coastal areas then as we go into the afternoon hours we are once again going to see isolated thunder showers popping up over the Northern parts of culu natal pushing North into parts of the Free State panga hang and also poo and maybe the eastern most areas of the Northwest it is going to stay sunny for the back of the northern cap fresh to strong winds are expected for the cap Peninsula and also along Mar of the East Coast where winds will reach speeds of 40 kilm per hour we still have a warning for high fire danger conditions where you see the Shad of red over parts of the northern C be careful around open fires in those areas not too too cold this morning for the interior minimums just above 10° in most areas but chilly in places around Southerland calvinia and spring bro cap town starting at 13 the same for George warmer as we go towards the east coast Jonesburg and Petoria with minimums of 14° things are going to warm up further for hting these Friday thermometers pushing into the upper 20s and lower 30s and we have that chance of isolated thunder showers janb warming to around 27° showers are also focused for the B of liopo it is going to be sizzling hot for the Eastern areas with highs in the mid-30s for most Parts we're also going to see showers across much of M Malanga with thermometers mostly in the lower 30s hotter as we go towards kukuza where mostly sunny skies are expected mostly cloudy with rain and thunder showers for quu natal Dean warming to 23 cooler for port chipstone and coad in the Eastern cap we are expecting rainy weather over the coastal areas it is going to be cool to cold in most Parts with temperatures in the upper teens and lower 20s similar temperatures Across the Western cap with cloud and rainy weather for the southern Parts cap town will miss out on those rains with mostly cloudy skies and a high of 18° mostly sunny for the northern cap nicely warm in most Parts with highs in the mid to Upper 20s we should also see showers over the Eastern areas of the Freez at Bloom Fontaine Sunny warming to around 27 showers are also possible for the Eastern parts of the Northwest renberg 32 the same for mahik then on Saturday we are going to see scattered showers setting in over the southern parts of the country and persisting on Sunday that's all from the weather desk for
QUK7OAhjfRQ,Traffic Update | 18 October 2024,2024-10-18T04:25:48Z,353,good morning happy Friday let's take you to the roads and just give you a reminder again of the real need to check before you travel between Peter radburg and Durban and either way yesterday morning we were showing you these sort of Graphics the the video of how the traffic just backs up around these stationary trucks that break down in the roadworks you can see from the video just how many trucks there are occasionally they break down or quite often they break down in the roadworks drop you to a single aim and very quickly you get a 30 or 40 minute queue so that was a warning and then yesterday between Duran and Peter Mar it's very there was just one broken down truck after another in fact at one point there were about three broken down trucks on the road between ashburton and Peter Marburg or between lynfield Park and and Peter Marburg so just check before you travel because you can very easily hit a 40 45 50 minute queue of traffic as you funnel into a single a on that road busy weekend we've got the amashova on Sunday this is Big Race for for Road cyclist coming from the Mandela capture side out at hock it'll then come down through Peter Marburg and then work its way through some country side and then basically hook into the comrades route it'll come down field seals through Westville pintown into Sherwood and then into Durban so lot of road closures between hock and Durban pretty much all Sunday one of the big ones will be the N3 this weekend you won't be able to go out of Durban on Sunday uh the cyclist the racing cyclists will come into Durban on the outbound so it's the entry outbound that'll be Clos from as early as 2:30 a.m. on Sunday morning right through until about 300 p.m. Roots like the M13 from Sherwood out through Westfield through Pinetown up Fields Hill will all be closed as well they'll be closed on the Hill Crest bound the westbound Carriage where if you like eastbound to Durban on the m113 and the N3 will be open but it's the outbound tracks that will be closed and capwn of course it's a Cape Town Marathon event we've got events uh road racing events on Saturday and on Sunday the big one on Sunday will close down roads through C Point through Greenpoint through the CBD out through the Woodstock Salt River Observatory area down around rondos rondos common and down into Newlands as well so check before you travel lot of the closures around the Greenpoint stadium side on Saturday but then that full closure set of closures on Sunday and there's some really heavy parking restrictions as well this year for that Marathon event any cars parked in a Zone where they shouldn't be will simply be towed away for
YwqctU0ySpU,#SABCNews Headlines @06H00 l 18 October 2024,2024-10-18T04:13:47Z,1499,in our top stories this morning the four men arrested on charges of killing 18 people in Luigi sigi will appear in court today president s Raposa says that he's still considering whether to take action against Justice minister timani in international news Israel's foreign minister has confirmed the death of Hamas leader Yahya Sinar in southern Gaza
